hhid,personid,pernum,resptype,age,relationship,gender,employment,jobs_count,worker,student,school,education,smartphone,license,vehicle,tollfreq,work_cnty,work_city,work_zip,work_st,school_freq,school_cnty,school_city,school_zip,school_st,trips_yesno,numtrips,loc_start,loc_end,no_travel,noneed_dayoff,noneed_telecommute,noneed_workhomenoapay,noneed_kidsvacation,noneed_other,unable_notransport,unable_sick,unable_visitor,unable_other,added_trip_flag,added_loop,added_quick,added_stop,added_dropoff,added_parking,added_other,typical,purchase,transit_freq,bike_freq,walk_freq,transitpay_orca,transitpay_cash,transitpay_tickets,transitpay_upass,transitpay_permit,transitpay_flex,transitpay_access,transitpay_school,transitpay_govt,transitpay_other,transitpay_dontknow,transitpay_free,transit_subsidy,hours_work,commute_freq,telecommute_freq,commute_dur,selfemp_dur,drive_living,night_shift,choose_work,choose_weather,telecommute,telecommute_hours,commute_mode,benefits_flextime,benefits_compressed,benefits_parking,benefits_transit,benefits_commute,wpktyp,wpk_dur,wpk_dis,prev_work_wa,prev_work_loc_cnty,prev_work_loc_city,prev_work_loc_zip,prev_work_loc_st,prev_work_loc_x,smartphone_type,smartphone_type6_r,smartphone_dr,smartphone_dr14_r,smartphone_ip,smartphone_ip9_r,carpool_gascost,carpool_parkingcost,carpool_tolls,carpool_hov,transit_avail,carpool_other,carpool_none,carpool_na,carshare_car2go,carshare_relayrides,carshare_zipcar,carshare_none,carshare_dontknow,carshare_other,prontoshare,share_freq_car2go,share_freq_relayrides,share_freq_zipcar,share_freq_othercar,share_freq_lyft,share_freq_sidecar,share_freq_uberx,share_freq_pronto,av_interest_nodriver,av_interest_backupdriver,av_interest_commutesov,av_interest_commutehov,av_interest_own,av_interest_carshare,av_interest_short,av_concern_safeequip,av_concern_legal,av_concern_safeveh,av_concern_react,av_concern_perform,wbt_more_transitsafety,wbt_more_transitfreq,wbt_more_reliability,bike3mile,telecommute_if,diary_duration_minutes,user_ismobiledevice,person_should_take_diary,proxy,expwt_h1415
14100015,1410001501,1,1,9,0,2,1,1,1,1,,7,1,1,1,5,1,SEATTLE,98104,WA,,,,,,1,9,1,1,,,,,,,,,,,0,,,,,,,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,10,5,,1,1,1,1,1,,8,1,1,1,3,1,8,,,,,,,,,2,,,,18,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,3,3,3,3,1,3,3,2,3,2,3,3,,,,,5,20,FALSE,1,1,7.615486293
14100019,1410001901,1,1,10,0,1,6,,0,1,,7,2,1,1,4,,,,,,,,,,1,3,1,1,,,,,,,,,,,1,0,0,1,0,0,0,2,2,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,27,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,2,2,,,2,2,2,2,2,2,2,2,3,3,3,2,,36,FALSE,1,1,51.73947343
14100031,1410003101,1,1,11,0,1,6,,0,1,,6,3,1,1,5,,,,,,,,,,1,4,1,1,,,,,,,,,,,0,,,,,,,1,2,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,,,5,5,5,1,1,1,1,1,4,4,4,1,,26,FALSE,1,1,26.25553174
14100034,1410003401,1,1,12,0,1,6,,0,1,,2,3,2,,5,,,,,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,2,2,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,7,7,7,7,7,7,7,5,6,,,5,5,6,1,1,1,1,1,6,6,6,1,,10,FALSE,1,1,14.87322176
14100038,1410003801,1,1,6,0,2,1,1,1,1,,6,3,1,,5,1,SEATTLE,98105,WA,,,,,,1,4,3,3,,,,,,,,,,,0,,,,,,,1,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,4,3,2,9,2,,1,1,1,2,1,,15,1,1,1,3,3,8,,,1,1,SEATTLE,98126,WA,,,,,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,7,5,7,7,7,7,5,5,5,5,5,5,5,4,1,2,2,1,3,,,,3,3,17,FALSE,1,1,92.60373168
14100042,1410004201,1,1,8,0,2,1,1,1,1,,6,1,1,1,6,4,EVERETT,98204,WA,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,2,2,7,7,4,,,,,,,,,,,,,,2,2,9,4,,1,1,2,1,1,,1,3,1,3,4,2,1,,,1,4,MUKILTEO,98275,WA,,1,,12,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,4,5,3,3,3,5,5,5,1,4,21,FALSE,1,1,516.8344806
14100042,1410004202,2,2,8,1,1,7,,0,1,,2,1,1,2,6,,,,,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,2,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,,,5,5,5,3,5,5,2,2,5,5,5,1,,9,FALSE,1,2,516.8344806
14100042,1410004203,3,3,3,2,1,,,0,,7,,,,,,,,,,2,4,LYNNWOOD,98036,WA,2,0,3,3,1,,0,0,0,1,,,,,0,,,,,,,2,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FALSE,1,3,516.8344806
14100044,1410004401,1,1,11,0,1,6,,0,1,,3,3,1,1,6,,,,,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,2,2,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,,,5,5,5,1,1,1,1,1,6,6,6,1,,54,FALSE,1,1,148.3868162
14100046,1410004601,1,1,10,0,2,6,,0,1,,7,3,1,1,6,,,,,,,,,,1,9,1,1,,,,,,,,,,,0,,,,,,,1,2,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,1,1,,,2,1,1,5,5,5,5,5,5,4,5,2,,32,FALSE,1,1,138.6437668
14100046,1410004602,2,2,10,1,1,6,,0,1,,6,3,1,2,6,,,,,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,2,2,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,1,1,,,2,1,1,4,5,5,4,5,5,4,4,1,,22,FALSE,1,2,138.6437668
14100047,1410004701,1,1,8,0,2,1,1,1,1,,6,3,1,1,6,4,EVERETT,98204,WA,,,,,,1,5,1,1,,,,,,,,,,,0,,,,,,,2,2,6,6,5,,,,,,,,,,,,,,3,2,9,6,,1,1,1,2,1,,1,1,1,3,1,1,1,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,1,1,18,FALSE,1,1,918.7478264
14100048,1410004801,1,1,9,0,2,3,1,1,1,,5,1,1,2,2,1,SHORELINE,98155,WA,,,,,,1,8,1,1,,,,,,,,,,,0,,,,,,,2,2,7,7,4,,,,,,,,,,,,,,1,2,9,4,7,2,1,1,1,1,,1,,,,,,1,,,1,1,SEATTLE,98125,WA,,4,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,5,5,5,5,3,6,6,6,6,6,5,5,5,1,5,29,FALSE,1,1,610.6132123
14100048,1410004802,2,2,9,1,1,2,1,1,1,,3,1,1,1,5,4,EDMONDS,98026,WA,,,,,,1,3,1,1,,,,,,,,,,,0,,,,,,,2,2,6,7,5,,,,,,,,,,,,,,4,2,9,6,,1,1,1,1,1,,1,1,1,3,1,1,1,,,,,,,,,2,,,,17,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,1,5,16,FALSE,1,1,610.6132123
14100051,1410005101,1,1,7,0,2,1,1,1,1,,7,2,1,3,6,4,EVERETT,98204,WA,,,,,,1,3,1,1,,,,,,,,,,,0,,,,,,,1,2,7,7,4,,,,,,,,,,,,,,2,2,8,3,,1,1,1,1,1,,1,3,2,3,1,2,1,,,1,1,TUKWILA,98108,WA,,1,,27,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,5,5,5,5,5,2,1,1,2,1,5,5,5,2,3,13,FALSE,1,1,273.0602731
14100051,1410005102,2,3,2,2,1,,,0,,3,,,,,,,,,,2,4,EVERETT,98208,WA,1,3,3,3,,,,,,,,,,,0,,,,,,,1,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,FALSE,1,2,273.0602731
14100053,1410005301,1,1,9,0,1,6,,0,1,,3,3,1,1,6,,,,,,,,,,1,2,1,1,,,,,,,,,,,1,0,0,1,0,0,0,2,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,,,5,5,5,6,6,6,6,6,4,4,4,1,,17,FALSE,1,1,50.63856082
14100054,1410005401,1,1,6,0,1,1,1,1,1,,7,1,1,1,5,1,SEATTLE,98115,WA,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,1,1,7,7,2,,,,,,,,,,,,,,2,2,8,2,,1,1,1,1,1,,1,3,1,3,1,1,1,,,1,1,BELLEVUE,98005,WA,,1,,5,,,,0,0,1,1,1,1,0,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,2,2,5,5,5,5,1,1,2,2,1,2,5,5,5,5,3,175,FALSE,1,1,568.1010921
14100054,1410005402,2,2,7,1,2,1,1,1,1,,7,1,1,3,5,1,REDMOND,98052,WA,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,1,2,6,3,4,,,,,,,,,,,,,,2,2,7,3,,1,1,1,2,1,,1,3,1,3,2,3,2,,,1,1,KIRKLAND,98034,WA,,1,,1,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,7,FALSE,1,3,568.1010921
14100054,1410005403,3,3,1,2,1,,,0,,1,,,,,,,,,,,1,KENMORE,98028,WA,,2,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,568.1010921
14100054,1410005404,4,3,1,2,2,,,0,,1,,,,,,,,,,,1,KENMORE,98028,WA,,2,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,568.1010921
14100057,1410005701,1,1,7,0,2,1,1,1,1,,6,1,1,1,5,1,SEATTLE,98101,WA,,,,,,1,6,1,3,,,,,,,,,,,0,,,,,,,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,6,4,,1,1,3,2,1,,8,3,1,1,3,2,2,,,1,1,SEATTLE,98195,WA,,2,,,,17,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,3,5,5,4,3,1,1,1,1,3,,,,2,,16,FALSE,1,1,533.0432463
14100057,1410005702,2,2,6,1,1,5,,0,1,,4,1,1,1,5,,,,,,,,,,1,3,1,3,,,,,,,,,,,1,0,0,0,0,0,1,2,2,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,5,FALSE,1,3,533.0432463
14100057,1410005703,3,3,3,2,1,,,0,,3,,,,,,,,,,2,4,MILL CREEK,98012,WA,1,3,1,3,,,,,,,,,,,0,,,,,,,2,,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FALSE,1,3,533.0432463
14100057,1410005704,4,3,2,2,1,,,0,,3,,,,,,,,,,2,4,BOTHELL,98012,WA,1,3,1,3,,,,,,,,,,,0,,,,,,,2,,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FALSE,1,3,533.0432463
14100057,1410005705,5,3,1,2,1,,,0,,8,,,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,533.0432463
14100057,1410005706,6,3,1,2,2,,,0,,8,,,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,533.0432463
14100066,1410006601,1,1,6,0,2,1,1,1,1,,3,1,1,1,5,4,MOUNTLAKE TERRACE,98043,WA,,,,,,1,4,1,1,,,,,,,,,,,0,,,,,,,1,2,7,7,7,,,,,,,,,,,,,,3,2,8,5,,1,1,1,1,1,,2,2,1,3,2,3,1,,,,,,,,,1,,10,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,3,3,2,2,2,3,1,3,2,4,3,2,4,4,4,3,4,20,FALSE,1,1,761.390528
14100066,1410006602,2,2,6,1,1,1,1,1,1,,3,1,1,1,5,4,MOUNTLAKE TERRACE,98043,WA,,,,,,1,4,1,1,,,,,,,,,,,0,,,,,,,1,2,7,7,5,,,,,,,,,,,,,,3,2,9,4,,1,1,1,1,1,,2,2,2,3,2,3,1,,,1,1,TUKWILA,98188,WA,,1,,26,Droid Incredible 2,,Droid Incredible 2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,3,3,3,1,3,5,2,3,2,3,2,2,5,5,5,2,1,12,FALSE,1,1,761.390528
14100066,1410006603,3,3,1,2,1,,,0,,1,,,,,,,,,,,4,EVERETT,98208,WA,,2,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,761.390528
14100066,1410006604,4,3,1,2,1,,,0,,1,,,,,,,,,,,4,EVERETT,98208,WA,,2,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,,761.390528
14100078,1410007801,1,1,10,0,2,3,3,1,1,,7,3,1,3,4,1,BOTHELL,98011,WA,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,2,2,7,6,1,,,,,,,,,,,,,,6,4,4,3,5,1,1,2,1,1,,1,,,,,,1,,,1,1,WOODINVILLE,98072,WA,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,5,5,5,5,5,2,2,2,2,2,5,5,5,1,,15,FALSE,1,1,390.6866275
14100078,1410007802,2,2,10,1,1,6,,0,1,,7,1,1,5,4,,,,,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,2,2,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,,,5,5,5,2,2,2,2,2,5,5,5,2,,23,FALSE,1,2,390.6866275
14100085,1410008501,1,1,9,0,1,6,,0,1,,7,3,1,1,6,,,,,,,,,,1,6,1,3,,,,,,,,,,,0,,,,,,,2,2,5,7,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,,,5,5,5,2,2,2,2,2,4,4,4,2,,30,TRUE,1,1,53.80802705
14100088,1410008801,1,1,9,0,2,2,1,1,1,,6,1,1,1,5,4,ARLINGTON,98223,WA,,,,,,1,3,1,1,,,,,,,,,,,0,,,,,,,1,2,6,6,6,,,,,,,,,,,,,,4,4,9,2,,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,4,MOUNTLAKE TERRACE ,98043,WA,,7,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,2,3,8,FALSE,1,1,300.4082717
14100090,1410009001,1,1,10,0,2,6,,0,1,,6,3,1,1,6,,,,,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,1,2,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,5,5,,,5,5,5,1,1,1,1,1,5,5,5,3,,8,FALSE,1,1,82.24641546
14100095,1410009501,1,1,6,0,2,1,1,1,1,,5,1,1,1,5,1,ISSAQUAH,98027,WA,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,1,2,7,4,4,,,,,,,,,,,,,,3,2,9,1,,1,1,1,1,1,,1,1,1,3,1,1,1,,,3,,,,,,1,,10,,,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,2,2,3,2,2,2,2,2,2,2,2,2,4,3,3,4,2,12,FALSE,1,1,87.09501324
14100095,1410009502,2,2,6,1,1,7,,0,3,5,5,1,1,1,6,,,,,2,1,SEATTLE,98195,WA,2,0,1,1,1,,0,1,0,0,,,,,0,,,,,,,2,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,21,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,3,3,,,3,3,3,4,4,4,4,4,,,,3,,4,FALSE,1,1,87.09501324
14100104,1410010401,1,1,8,0,2,1,1,1,1,,4,1,1,1,1,1,REDMOND,98052,WA,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,1,2,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,9,3,,1,1,1,1,1,,1,1,1,3,1,1,1,,,1,1,SEATTLE,98125,WA,,4,,,,,,1,0,1,0,1,0,0,0,0,0,0,1,0,0,4,7,7,7,7,6,7,6,,1,3,1,1,1,1,1,3,3,3,2,3,5,5,5,5,1,22,FALSE,1,1,47.1101116
14100104,1410010402,2,2,8,1,1,2,1,1,1,,3,1,1,1,5,.,,,,,,,,,1,2,1,1,,,,,,,,,,,1,1,0,0,0,0,0,1,2,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,5,5,9,,,,1,1,,,1,,,1,1,1,1,1,,,,,,,,,,1,,2,,,,,,,,,,,,0,0,0,1,0,0,4,7,7,7,7,5,7,5,,1,2,,,1,1,1,3,3,3,2,3,3,2,2,5,,65,FALSE,1,1,47.1101116
14100107,1410010701,1,1,9,0,2,1,1,1,1,,7,1,1,1,5,1,SEATTLE,98104,WA,,,,,,1,5,1,1,,,,,,,,,,,0,,,,,,,2,2,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,5,,1,1,2,1,1,,7,2,2,1,3,1,2,,,,,,,,,2,,,,20,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7,7,7,7,7,7,7,6,2,4,5,2,6,2,2,3,2,5,2,4,4,4,4,3,,28,FALSE,1,1,33.06689587
